Parametr,Wartość
product_name,Jungle Speed Eco
original_title,"Jungle Speed
  Eco"
is_preorder,False
release_date_note,
publisher,Rebel
designer,"Pierric Yakovenko, Thomas
  Vuarchex"
illustrator,
edition_language,polski
manual_language,polski
players,2-10
age,7+
play_time,"ok.
  15"
instruction_pdf,"https://hurt.rebel.pl/repository/files/instrukcje/instrukcja_Jungle-Speed-Eco.pdf?_gl=119q4erd_upMQ.._gaMTYyNDM0N
  jYyMy4xNzgyODkxNDk1_ga_W7X0HN9WDHczE3ODI4OTE0OTQkbzEkZzEkdDE3ODI4OTE0OTUkajU5JGwwJGg4MTY5ODM0MzE."
